tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1457767	movie	The Conjuring	The Conjuring	0.0	2013.0		112	Horror,Mystery,Thriller
tt0945513	movie	Source Code	Source Code	0.0	2011.0		93	Action,Drama,Mystery
tt0314331	movie	Love Actually	Love Actually	0.0	2003.0		135	Comedy,Drama,Romance
tt0087469	movie	Indiana Jones and the Temple of Doom	Indiana Jones and the Temple of Doom	0.0	1984.0		118	Action,Adventure
tt0268380	movie	Ice Age	Ice Age	0.0	2002.0		81	Adventure,Animation,Comedy
tt1630029	movie	Avatar: The Way of Water	Avatar: The Way of Water	0.0	2022.0		192	Action,Adventure,Fantasy
tt6263850	movie	Deadpool & Wolverine	Deadpool & Wolverine	0.0	2024.0		128	Action,Adventure,Comedy
tt0099088	movie	Back to the Future Part III	Back to the Future Part III	0.0	1990.0		118	Adventure,Comedy,Sci-Fi
tt0289043	movie	28 Days Later	28 Days Later	0.0	2002.0		113	Drama,Horror,Sci-Fi
tt0217505	movie	Gangs of New York	Gangs of New York	0.0	2002.0		167	Crime,Drama
tt0887912	movie	The Hurt Locker	The Hurt Locker	0.0	2008.0		131	Drama,Thriller,War
tt0446029	movie	Scott Pilgrim vs. the World	Scott Pilgrim vs. the World	0.0	2010.0		112	Action,Comedy,Fantasy
tt0369339	movie	Collateral	Collateral	0.0	2004.0		120	Action,Crime,Drama
tt0840361	movie	The Town	The Town	0.0	2010.0		125	Crime,Drama,Thriller
tt0118971	movie	The Devil's Advocate	The Devil's Advocate	0.0	1997.0		144	Drama,Fantasy,Mystery
tt0096895	movie	Batman	Batman	0.0	1989.0		126	Action,Adventure
tt1542344	movie	127 Hours	127 Hours	0.0	2010.0		94	Biography,Drama
tt0094721	movie	Beetlejuice	Beetlejuice	0.0	1988.0		92	Comedy,Fantasy
tt0120663	movie	Eyes Wide Shut	Eyes Wide Shut	0.0	1999.0		159	Drama,Mystery,Thriller
tt0443543	movie	The Illusionist	The Illusionist	0.0	2006.0		110	Drama,Fantasy,Mystery
tt0338751	movie	The Aviator	The Aviator	0.0	2004.0		170	Biography,Drama
tt0119396	movie	Jackie Brown	Jackie Brown	0.0	1997.0		154	Crime,Drama,Thriller
tt0100802	movie	Total Recall	Total Recall	0.0	1990.0		113	Action,Adventure,Sci-Fi
tt0110148	movie	Interview with the Vampire	Interview with the Vampire: The Vampire Chronicles	0.0	1994.0		123	Drama,Fantasy,Horror
tt1707386	movie	Les Misérables	Les Misérables	0.0	2012.0		158	Drama,Musical,Romance
tt3606756	movie	Incredibles 2	Incredibles 2	0.0	2018.0		118	Action,Adventure,Animation
tt0970179	movie	Hugo	Hugo	0.0	2011.0		126	Adventure,Drama,Family
tt1485796	movie	The Greatest Showman	The Greatest Showman	0.0	2017.0		105	Biography,Drama,Musical
tt0449467	movie	Babel	Babel	0.0	2006.0		143	Drama
tt1091191	movie	Lone Survivor	Lone Survivor	0.0	2013.0		121	Action,Biography,Drama
