tconst	averageRating	numVotes
tt0000160	5.2	29
tt0000161	3.6	16
tt0000162	5.4	510
tt0000163	5.0	15
tt0000164	5.0	346
tt0000165	4.7	154
tt0000166	3.4	21
tt0000167	4.1	172
tt0000168	2.9	19
tt0000169	4.0	63
tt0000170	5.2	301
tt0000171	3.3	21
tt0000172	6.0	1160
tt0000173	4.6	47
tt0000174	4.5	153
tt0000175	4.9	260
tt0000176	4.7	15
tt0000177	4.6	261
tt0000178	5.2	286
tt0000179	4.7	50
tt0000181	6.6	68
tt0000182	4.8	609
tt0000183	5.6	39
tt0000184	4.8	356
tt0000186	4.8	26
tt0000187	4.8	66
tt0000188	3.6	13
tt0000190	4.7	168
tt0000192	4.5	201
tt0000194	5.4	86
tt0000196	4.7	36
tt0000197	4.0	23
tt0000198	4.2	22
tt0000199	4.0	15
tt0000200	3.4	15
tt0000201	5.0	33
tt0000204	5.5	16
tt0000205	4.8	34
tt0000206	5.4	16
tt0000207	5.4	15
tt0000208	5.7	616
tt0000209	4.8	37
tt0000210	5.1	39
tt0000211	7.4	5126
tt0000213	4.7	288
tt0000214	4.0	124
tt0000215	4.0	147
tt0000218	5.9	785
tt0000219	6.6	34
tt0000222	4.6	274
tt0000223	5.4	20
tt0000225	5.1	41
tt0000228	4.9	326
tt0000229	4.4	128
tt0000230	6.5	1975
tt0000231	3.4	23
tt0000234	6.2	86
tt0000235	6.2	1111
tt0000239	5.6	314
tt0000240	4.4	99
tt0000242	6.4	1465
tt0000245	6.1	57
tt0000246	6.4	1153
tt0000247	4.9	560
tt0000248	6.1	1801
tt0000251	5.2	178
tt0000253	4.1	32
tt0000256	4.8	191
tt0000261	5.4	102
tt0000264	5.7	531
tt0000265	4.4	168
tt0000269	4.7	156
tt0000271	6.3	14
tt0000272	5.6	971
tt0000273	5.5	742
tt0000274	5.6	316
tt0000276	6.8	34
tt0000277	6.2	81
tt0000279	4.1	28
tt0000280	4.4	28
tt0000281	4.6	27
tt0000283	5.8	20
tt0000284	5.4	273
tt0000285	5.2	33
tt0000286	5.7	328
tt0000287	4.9	186
tt0000288	5.2	231
tt0000292	5.1	119
tt0000296	5.7	282
tt0000299	5.7	333
tt0000300	6.8	1532
tt0000301	4.4	491
tt0000302	5.3	340
tt0000304	6.0	1525
tt0000306	5.3	278
tt0000307	4.9	107
tt0000308	5.2	159
tt0000309	6.1	1043
tt0000310	7.4	37
tt0000313	5.8	885
tt0000318	5.1	20
tt0000319	5.7	323
tt0000321	4.8	257
tt0000328	5.5	17
tt0000335	5.8	60
tt0000337	4.9	394
tt0000340	4.9	358
tt0000341	4.9	418
tt0000346	4.7	263
tt0000347	4.4	131
tt0000349	5.5	158
tt0000350	5.7	822
tt0000352	5.2	72
tt0000353	5.1	408
tt0000355	6.1	856
tt0000357	5.8	558
tt0000358	6.2	846
tt0000359	7.1	3416
tt0000361	7.4	28
tt0000363	6.2	228
tt0000364	5.5	182
tt0000368	6.6	25
tt0000370	5.6	669
tt0000373	6.3	148
tt0000376	5.9	25
tt0000377	6.0	164
tt0000379	4.1	15
tt0000380	6.8	30
tt0000381	3.6	30
tt0000384	5.8	413
tt0000387	5.1	472
tt0000388	5.2	161
tt0000399	6.1	852
tt0000400	5.8	19
tt0000402	6.1	16
tt0000406	5.7	51
tt0000407	3.8	50
tt0000409	5.1	307
tt0000410	6.7	1155
tt0000412	4.4	33
tt0000413	5.5	550
tt0000414	5.4	860
tt0000416	5.4	229
tt0000417	8.1	58834
tt0000420	6.2	3061
tt0000422	5.0	11
tt0000423	5.5	281
tt0000425	4.9	28
tt0000426	4.0	24
tt0000430	5.8	758
tt0000432	5.7	273
tt0000436	6.1	581
tt0000437	5.1	341
tt0000439	7.2	22088
tt0000440	5.3	275
tt0000441	7.2	14
tt0000442	4.5	118
tt0000443	5.6	16
tt0000446	4.8	27
tt0000447	6.4	2872
tt0000451	6.5	1134
tt0000452	4.5	127
tt0000455	6.7	2024
tt0000456	3.9	70
tt0000459	4.4	83
tt0000464	4.8	525
tt0000465	7.3	2011
tt0000469	5.8	1226
tt0000471	5.2	568
tt0000472	6.0	27
tt0000479	5.2	441
tt0000480	5.0	236
tt0000487	6.7	585
tt0000488	6.9	938
tt0000491	3.7	74
tt0000492	4.8	163
tt0000495	5.9	143
tt0000496	5.7	82
tt0000497	5.1	101
tt0000498	6.6	1405
tt0000499	7.5	4272
tt0000501	4.7	57
tt0000502	3.6	22
tt0000505	6.2	35
tt0000506	4.8	11
tt0000507	3.4	65
tt0000509	5.5	57
tt0000511	5.7	57
tt0000512	4.4	77
tt0000515	4.7	124
tt0000516	6.5	1216
tt0000519	5.6	461
tt0000520	6.1	74
tt0000521	5.5	379
tt0000522	2.8	19
tt0000524	5.8	867
tt0000525	5.2	59
tt0000526	4.0	74
tt0000528	5.4	20
tt0000533	4.5	51
tt0000534	6.6	1385
tt0000535	4.9	81
tt0000537	4.3	103
tt0000543	4.3	20
tt0000544	5.0	12
tt0000546	6.7	2101
tt0000548	4.4	10
tt0000550	3.2	16
tt0000552	5.6	82
tt0000553	6.5	586
tt0000554	6.2	1596
tt0000555	4.9	26
tt0000557	4.6	155
tt0000561	4.9	77
tt0000565	6.2	723
tt0000567	6.8	1513
tt0000570	3.8	63
tt0000571	6.7	75
tt0000574	6.0	1006
tt0000575	5.7	626
tt0000576	6.0	265
tt0000578	7.2	30
tt0000581	4.2	14
tt0000582	4.7	821
tt0000583	5.2	62
tt0000584	5.0	99
tt0000586	5.8	28
tt0000588	4.4	14
tt0000591	5.4	33
tt0000594	5.3	23
tt0000595	5.1	20
tt0000596	5.1	28
tt0000597	5.0	85
tt0000598	5.3	41
tt0000599	3.9	17
tt0000601	5.8	16
tt0000602	4.1	277
tt0000606	7.4	19
tt0000608	5.8	28
tt0000609	4.8	23
tt0000610	4.9	24
tt0000611	4.8	24
tt0000613	4.2	15
tt0000614	6.5	1315
tt0000615	4.1	29
tt0000617	4.9	45
tt0000618	8.4	18
tt0000621	6.5	666
tt0000623	4.3	11
tt0000627	5.9	65
tt0000628	5.7	998
tt0000629	5.9	86
tt0000630	3.0	34
tt0000631	2.0	12
tt0000632	4.8	70
tt0000634	4.0	31
tt0000636	4.4	22
tt0000637	5.4	846
tt0000638	5.0	94
tt0000639	4.9	104
tt0000640	4.3	163
tt0000641	4.6	197
tt0000642	5.5	71
tt0000643	6.0	22
tt0000644	5.5	65
tt0000645	5.0	203
tt0000648	4.6	192
tt0000650	7.8	25
tt0000651	4.8	89
tt0000653	4.5	246
tt0000654	4.8	134
tt0000658	6.4	320
tt0000659	4.7	89
tt0000660	5.7	63
tt0000661	7.8	25
tt0000662	4.1	74
tt0000663	5.7	63
tt0000665	6.0	65
tt0000666	5.4	34
tt0000668	6.7	64
tt0000669	4.9	177
tt0000671	5.8	18
tt0000672	6.6	48
tt0000673	5.7	18
tt0000674	4.6	60
tt0000675	3.9	24
tt0000676	3.6	19
tt0000677	6.3	24
tt0000679	5.1	79
tt0000680	5.5	55
tt0000681	5.7	45
tt0000682	6.9	3092
tt0000683	5.6	102
tt0000684	4.9	150
tt0000685	5.9	50
tt0000689	6.4	60
tt0000690	6.5	47
tt0000694	5.8	56
tt0000695	6.0	58
